"Date","Wt_consumption","Temperature"
"1","09.11.2015 15:00",0,17.2
"2","09.11.2015 16:00",12220000,16.6
"3","09.11.2015 17:00",11820000,16.2
"4","09.11.2015 18:00",11940000,15.7
"5","09.11.2015 19:00",11360000,15.7
"6","09.11.2015 20:00",11100000,15.1
"7","09.11.2015 21:00",10720000,15.7
"8","09.11.2015 22:00",11000000,15.3
"9","09.11.2015 23:00",10740000,15.3
"10","10.11.2015 0:00",9660000,14.9
"11","10.11.2015 1:00",8700000,14.4
"12","10.11.2015 2:00",8640000,13.7
"13","10.11.2015 3:00",9560000,13.2
"14","10.11.2015 4:00",10260000,12.7
"15","10.11.2015 5:00",11920000,12.7
"16","10.11.2015 6:00",12120000,13
"17","10.11.2015 7:00",12980000,11.6
"18","10.11.2015 8:00",14160000,12.5
"19","13.11.2015 12:00",597760000,13.2
"20","13.11.2015 13:00",11080000,14.4
"21","13.11.2015 14:00",11500000,14
"22","13.11.2015 15:00",11680000,13.6
"23","13.11.2015 16:00",11020000,13.3
"24","13.11.2015 17:00",10520000,13.2
"25","13.11.2015 18:00",10500000,13.1
"26","13.11.2015 19:00",10300000,13.4
"27","13.11.2015 20:00",10440000,13.3
"28","13.11.2015 21:00",10700000,12.1
"29","13.11.2015 22:00",10440000,12.3
"30","13.11.2015 23:00",9600000,11.3
"31","14.11.2015 0:00",8740000,10.8
"32","14.11.2015 1:00",8780000,10.7
"33","14.11.2015 2:00",8840000,10.3
"34","14.11.2015 3:00",8640000,9.2
"35","14.11.2015 4:00",8160000,9
"36","14.11.2015 5:00",8340000,7.1
"37","14.11.2015 6:00",8580000,7.8
"38","14.11.2015 7:00",9020000,7.3
"39","14.11.2015 8:00",8740000,9.1
"40","14.11.2015 9:00",9160000,9.6
"41","14.11.2015 10:00",8920000,11.4
"42","14.11.2015 11:00",7900000,11.9
"43","14.11.2015 12:00",7480000,12.2
"44","14.11.2015 13:00",7400000,12
"45","14.11.2015 14:00",7620000,12.3
"46","14.11.2015 15:00",7580000,11.8
"47","14.11.2015 16:00",7580000,11.2
"48","14.11.2015 17:00",7700000,11
"49","14.11.2015 18:00",7740000,11.1
"50","14.11.2015 19:00",7300000,11.2
"51","14.11.2015 20:00",7240000,11.1
"52","14.11.2015 21:00",6860000,11
"53","14.11.2015 22:00",7460000,10.7
"54","14.11.2015 23:00",7200000,10.7
"55","15.11.2015 0:00",6720000,10.8
"56","15.11.2015 1:00",5720000,10.9
"57","15.11.2015 2:00",5380000,11.2
"58","15.11.2015 3:00",5380000,11.1
"59","15.11.2015 4:00",6420000,11.1
"60","15.11.2015 5:00",6560000,11.1
"61","15.11.2015 6:00",5700000,11
"62","15.11.2015 7:00",6340000,11.5
"63","15.11.2015 8:00",6880000,12.4
"64","15.11.2015 9:00",7140000,13.2
"65","15.11.2015 10:00",6740000,14
"66","15.11.2015 11:00",6380000,14.2
"67","15.11.2015 12:00",6440000,15.5
"68","15.11.2015 13:00",6480000,16.4
"69","15.11.2015 14:00",7040000,16.7
"70","15.11.2015 15:00",7820000,16.5
"71","15.11.2015 16:00",7800000,16.5
"72","15.11.2015 17:00",7520000,16.7
"73","15.11.2015 18:00",7600000,15.7
"74","15.11.2015 19:00",7220000,15.3
"75","15.11.2015 20:00",6900000,14.6
"76","15.11.2015 21:00",6800000,14.5
"77","15.11.2015 22:00",6780000,15.2
"78","15.11.2015 23:00",7080000,15.5
"79","16.11.2015 0:00",6860000,14.4
"80","16.11.2015 1:00",7300000,11.4
"81","16.11.2015 2:00",6900000,9.3
"82","16.11.2015 3:00",6960000,8.8
"83","16.11.2015 4:00",8400000,7.4
"84","16.11.2015 5:00",10720000,6
"85","16.11.2015 6:00",11520000,6.5
"86","16.11.2015 7:00",12000000,14.4
"87","16.11.2015 8:00",12200000,14.3
"88","16.11.2015 9:00",13080000,17.3
"89","16.11.2015 10:00",13240000,17.7
"90","16.11.2015 11:00",12380000,18.2
"91","16.11.2015 12:00",11380000,17.9
"92","16.11.2015 13:00",11240000,17.7
"93","16.11.2015 14:00",11540000,17.6
"94","16.11.2015 15:00",11120000,16.8
"95","16.11.2015 16:00",10760000,15.6
"96","16.11.2015 17:00",10440000,14.3
"97","16.11.2015 18:00",10520000,13.2
"98","16.11.2015 19:00",10720000,12.1
"99","16.11.2015 20:00",10280000,12.2
"100","16.11.2015 21:00",10000000,11.2
"101","16.11.2015 22:00",10200000,11
"102","16.11.2015 23:00",10040000,10.9
"103","17.11.2015 0:00",8400000,11
"104","17.11.2015 1:00",7260000,11.7
"105","17.11.2015 2:00",7580000,12
"106","17.11.2015 3:00",8860000,12.3
"107","17.11.2015 4:00",9760000,12.5
"108","17.11.2015 5:00",11160000,12.9
