"Date","Wt_consumption"
"1","16.11.2015 11:00",0
"2","16.11.2015 12:00",8080000
"3","16.11.2015 13:00",7600000
"4","16.11.2015 14:00",6920000
"5","16.11.2015 15:00",7080000
"6","16.11.2015 16:00",7660000
"7","16.11.2015 17:00",6700000
"8","16.11.2015 18:00",7720000
"9","16.11.2015 19:00",7240000
"10","16.11.2015 20:00",6900000
"11","16.11.2015 21:00",6620000
"12","16.11.2015 22:00",4660000
"13","16.11.2015 23:00",5280000
"14","17.11.2015 0:00",5440000
"15","17.11.2015 1:00",5100000
"16","17.11.2015 2:00",4960000
"17","17.11.2015 3:00",5400000
"18","17.11.2015 4:00",5680000
"19","17.11.2015 5:00",5300000
"20","17.11.2015 6:00",5740000
"21","17.11.2015 7:00",7460000
"22","17.11.2015 8:00",7120000
"23","17.11.2015 9:00",7760000
"24","17.11.2015 10:00",7980000
"25","17.11.2015 11:00",6620000
"26","17.11.2015 12:00",7700000
"27","17.11.2015 13:00",7600000
"28","17.11.2015 14:00",7940000
"29","17.11.2015 15:00",7440000
"30","17.11.2015 16:00",7900000
"31","17.11.2015 17:00",7720000
"32","17.11.2015 18:00",7460000
"33","17.11.2015 19:00",6440000
"34","17.11.2015 20:00",6360000
"35","17.11.2015 21:00",7540000
"36","17.11.2015 22:00",6420000
"37","17.11.2015 23:00",5380000
"38","18.11.2015 0:00",4840000
"39","18.11.2015 1:00",4720000
"40","18.11.2015 2:00",4680000
"41","18.11.2015 3:00",4620000
"42","18.11.2015 4:00",4900000
"43","18.11.2015 5:00",5400000
"44","18.11.2015 6:00",5640000
"45","18.11.2015 7:00",6580000
"46","18.11.2015 8:00",6720000
"47","18.11.2015 9:00",6880000
"48","18.11.2015 10:00",6940000
"49","18.11.2015 11:00",6700000
"50","18.11.2015 12:00",7680000
"51","18.11.2015 13:00",7720000
"52","18.11.2015 14:00",8160000
"53","18.11.2015 15:00",7820000
"54","18.11.2015 16:00",7540000
"55","18.11.2015 17:00",7160000
"56","18.11.2015 18:00",7660000
"57","18.11.2015 19:00",6740000
"58","18.11.2015 20:00",5320000
"59","18.11.2015 21:00",5380000
"60","18.11.2015 22:00",4960000
"61","18.11.2015 23:00",4760000
"62","19.11.2015 0:00",4920000
"63","19.11.2015 1:00",4480000
"64","19.11.2015 2:00",4080000
"65","19.11.2015 3:00",4700000
"66","19.11.2015 4:00",4940000
"67","19.11.2015 5:00",5260000
"68","19.11.2015 6:00",6640000
"69","19.11.2015 7:00",7960000
"70","19.11.2015 8:00",7080000
"71","19.11.2015 9:00",6280000
"72","19.11.2015 10:00",6480000
"73","19.11.2015 11:00",6560000
"74","19.11.2015 12:00",6460000
"75","19.11.2015 13:00",7440000
"76","19.11.2015 14:00",7780000
"77","19.11.2015 15:00",7760000
