STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; STRUKTUR_VERSION; LUFTTEMPERATUR;REL_FEUCHTE;eor
  1443;2015100100;   7;  38;   7.1;  70.0;eor
  1443;2015100101;   7;  38;   4.4;  84.0;eor
  1443;2015100102;   7;  38;   7.0;  78.0;eor
  1443;2015100103;   7;  38;   4.2;  84.0;eor
  1443;2015100104;   7;  38;   2.6;  89.0;eor
  1443;2015100105;   7;  38;   3.7;  86.0;eor
  1443;2015100106;   7;  38;   3.2;  88.0;eor
  1443;2015100107;   7;  38;   5.6;  79.0;eor
  1443;2015100108;   7;  38;   8.9;  64.0;eor
  1443;2015100109;   7;  38;  10.4;  58.0;eor
  1443;2015100110;   7;  38;  11.2;  56.0;eor
  1443;2015100111;   7;  38;  12.5;  51.0;eor
  1443;2015100112;   7;  38;  13.9;  48.0;eor
  1443;2015100113;   7;  38;  14.9;  48.0;eor
  1443;2015100114;   7;  38;  15.7;  46.0;eor
  1443;2015100115;   7;  38;  16.6;  46.0;eor
  1443;2015100116;   7;  38;  16.5;  48.0;eor
  1443;2015100117;   7;  38;  13.3;  65.0;eor
  1443;2015100118;   7;  38;  10.5;  72.0;eor
  1443;2015100119;   7;  38;   7.8;  87.0;eor
  1443;2015100120;   7;  38;   6.1;  89.0;eor
  1443;2015100121;   7;  38;   5.3;  91.0;eor
  1443;2015100122;   7;  38;   6.1;  88.0;eor
  1443;2015100123;   7;  38;   5.4;  87.0;eor
  1443;2015100200;   7;  38;   4.3;  94.0;eor
  1443;2015100201;   7;  38;   3.8;  92.0;eor
  1443;2015100202;   7;  38;   3.9;  88.0;eor
  1443;2015100203;   7;  38;   3.3;  90.0;eor
  1443;2015100204;   7;  38;   3.0;  96.0;eor
  1443;2015100205;   7;  38;   3.0;  96.0;eor
  1443;2015100206;   7;  38;   2.5;  99.0;eor
  1443;2015100207;   7;  38;   6.6;  84.0;eor
  1443;2015100208;   7;  38;   7.6;  78.0;eor
  1443;2015100209;   7;  38;   9.7;  70.0;eor
  1443;2015100210;   7;  38;  12.3;  64.0;eor
  1443;2015100211;   7;  38;  13.3;  60.0;eor
  1443;2015100212;   7;  38;  15.4;  58.0;eor
  1443;2015100213;   7;  38;  16.2;  55.0;eor
  1443;2015100214;   7;  38;  17.3;  51.0;eor
  1443;2015100215;   7;  38;  18.0;  51.0;eor
  1443;2015100216;   7;  38;  16.5;  58.0;eor
  1443;2015100217;   7;  38;  16.3;  58.0;eor
  1443;2015100218;   7;  38;  12.7;  76.0;eor
  1443;2015100219;   7;  38;  11.8;  81.0;eor
  1443;2015100220;   7;  38;  10.4;  89.0;eor
  1443;2015100221;   7;  38;   9.5;  90.0;eor
  1443;2015100222;   7;  38;   9.4;  94.0;eor
  1443;2015100223;   7;  38;   8.6;  93.0;eor
  1443;2015100300;   7;  38;  10.0;  92.0;eor
  1443;2015100301;   7;  38;   9.5;  93.0;eor
